Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42074699,Van mening verschillen. Een handleiding,Ruben Mersch,"Mersch, Ruben",,"=""9089318534""","=""9789089318534""",3,3.71,Borgehoff & Lamberigts,Paperback,192,2018,2018,2019/11/29,2019/11/04,,,read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,2019/11/23,2019/06/30,,,read,,,,1,0
45168480,Hoe gaan we dit uitleggen,Jelmer Mommers,"Mommers, Jelmer",,"=""9082942143""","=""9789082942149""",3,4.26,De Correspondent,Paperback,237,2019,2019,2019/10/29,2019/10/13,,,read,,,,1,0
16139894,De gedaanteverwisseling,Franz Kafka,"Kafka, Franz",Willem van Toorn,"=""""","=""""",3,3.84,de Volkskrant,Hardcover,61,2012,1915,,2019/10/13,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",4,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2019/10/06,2018/11/27,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",4,4.14,Riverhead Books,Hardcover,352,2019,2019,2019/09/15,2019/08/17,,,read,,,,1,0
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,"=""0385514239""","=""9780385514231""",3,3.88,Doubleday,Hardcover,461,2017,2017,2019/08/31,2019/08/17,,,read,,,,1,0
40817874,Mag ik even iets tegen je aanhouden?,Japke-d. Bouma,"Bouma, Japke-d.",,"=""9400400047""","=""9789400400047""",2,3.08,Thomas Rap,Paperback,207,2018,,,2019/07/12,,,read,,,,1,0
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""""","=""""",4,4.09,Random House,Hardcover,276,2006,2006,,2019/06/14,,,read,,,,1,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,"=""""","=""""",3,4.25,Penguin Books,Kindle Edition,352,2018,2018,2019/07/09,2019/06/30,,,read,,,,1,0
